"Ticker","Period","Date","Open","High","Low","Close","Volume"
"YUM","Month","Sep 29, 2023",129.9250030517578,132.34500122070312,121.13999938964844,124.94000244140625,29981426
"YUM","Month","Aug 31, 2023",137.92999267578125,139.16000366210938,128.27999877929688,129.3800048828125,33660341
"YUM","Month","Jul 31, 2023",136.3300018310547,137.94000244140625,135.74000549316406,137.6699981689453,1463635
"YUM","Month","Jun 30, 2023",128.3800048828125,140.5399932861328,127.98999786376953,138.5500030517578,41794717
"YUM","Month","May 31, 2023",140.5800018310547,143.2449951171875,126.90499877929688,128.69000244140625,40972895
"YUM","Month","Apr 28, 2023",132.0800018310547,140.92999267578125,130.64999389648438,140.5800018310547,26652459
"YUM","Month","Mar 31, 2023",130.17999267578125,132.27000427246094,129.99000549316406,132.0800018310547,1705818
"YUM","Month","Feb 28, 2023",126.16,127.6,126.14,127.16,2624759
"YUM","Month","Jan 31, 2023",129.42,130.56,128.62,130.51,2076525
"YUM","Month","Dec 30, 2022",129.,132.24,126.96,128.08,36015173
"YUM","Month","Nov 30, 2022",119.01,128.96,116.19,128.66,42584102
"YUM","Month","Oct 31, 2022",107.48,119.46,103.96,118.25,36748793
"YUM","Month","Sep 30, 2022",110.72,118.65,106.3,106.34,35685045
"YUM","Month","Aug 31, 2022",121.77,123.79,110.56,111.24,39000375
"YUM","Month","Jul 29, 2022",113.84,123.01,113.42,122.54,27363881
"YUM","Month","Jun 30, 2022",121.91,122.,108.37,113.51,28286716
"YUM","Month","May 31, 2022",116.9,122.05,108.54,121.47,37590751
"YUM","Month","Apr 29, 2022",118.93,127.28,115.55,117.01,40513696
"YUM","Month","Mar 31, 2022",121.58,124.34,111.63,118.53,46118696
"YUM","Month","Feb 28, 2022",125.06,132.87,118.53,122.58,42849030
"YUM","Month","Jan 31, 2022",138.38,138.77,118.44,125.17,39158206
"YUM","Month","Dec 31, 2021",124.37,139.85,123.09,138.86,29384762
"YUM","Month","Nov 30, 2021",125.54,128.87,122.38,122.84,24861440
"YUM","Month","Oct 29, 2021",123.3,127.96,121.21,124.94,31436955
"YUM","Month","Sep 30, 2021",131.42,132.61,121.68,122.31,37099590
"YUM","Month","Aug 31, 2021",132.09,135.77,130.45,131.03,25677650
"YUM","Month","Jul 30, 2021",115.49,132.02,112.15,131.39,32684221
"YUM","Month","Jun 30, 2021",121.,121.,114.51,115.03,39701757
"YUM","Month","May 28, 2021",120.,122.72,116.92,119.97,31210509
"YUM","Month","Apr 30, 2021",108.67,119.92,107.99,119.52,28271320
"YUM","Month","Mar 31, 2021",104.01,111.68,101.94,108.18,43217719
"YUM","Month","Feb 26, 2021",102.24,106.92,101.64,103.53,35691822
"YUM","Month","Jan 29, 2021",109.02,109.66,101.18,101.49,29489511
"YUM","Month","Dec 31, 2020",106.84,110.66,104.32,108.56,36913343
"YUM","Month","Nov 30, 2020",94.42,107.7,93.73,105.8,31913309
"YUM","Month","Oct 30, 2020",92.15,101.51,90.33,93.33,31630451
"YUM","Month","Sep 30, 2020",95.59,98.65,88.08,91.3,34318074
"YUM","Month","Aug 31, 2020",91.25,97.6,90.04,95.85,27981043
"YUM","Month","Jul 31, 2020",87.17,95.44,85.57,91.05,40357448
"YUM","Month","Jun 30, 2020",89.89,98.28,84.17,86.91,52181539
"YUM","Month","May 29, 2020",84.39,91.31,77.58,89.73,63122270
"YUM","Month","Apr 30, 2020",65.,90.53,62.16,86.43,58798259
"YUM","Month","Mar 31, 2020",89.25,94.89,54.95,68.53,88787601
"YUM","Month","Feb 28, 2020",105.81,107.62,87.56,89.25,40264832
"YUM","Month","Jan 31, 2020",100.9,107.,99.91,105.77,39023382
"YUM","Month","Dec 31, 2019",100.71,102.2,98.03,100.73,34364448
"YUM","Month","Nov 29, 2019",101.93,102.23,96.93,100.67,50166279
"YUM","Month","Oct 31, 2019",113.4,115.17,97.74,101.71,43420971
"YUM","Month","Sep 30, 2019",116.8,119.59,110.18,113.43,37142236
"YUM","Month","Aug 30, 2019",116.15,119.72,113.64,116.78,33263309
"YUM","Month","Jul 31, 2019",110.46,114.37,108.72,112.52,26020010
"YUM","Month","Jun 28, 2019",102.24,111.29,101.83,110.67,31278601
"YUM","Month","May 31, 2019",101.5,103.48,98.95,102.35,35957543
"YUM","Month","Apr 30, 2019",100.43,104.47,98.99,104.39,25532945
"YUM","Month","Mar 29, 2019",95.,101.39,94.76,99.81,38709209
"YUM","Month","Feb 28, 2019",94.49,95.7,88.52,94.5,37269919
"YUM","Month","Jan 31, 2019",91.09,94.3,88.79,93.98,41145938
"YUM","Month","Dec 31, 2018",93.24,94.13,86.4,91.92,52015711
"YUM","Month","Nov 30, 2018",90.48,92.45,85.81,92.22,48352661
"YUM","Month","Oct 31, 2018",91.05,92.21,84.53,90.41,45849350
"YUM","Month","Sep 28, 2018",86.74,91.26,86.53,90.91,31017918
"YUM","Month","Aug 31, 2018",78.95,86.96,78.22,86.89,39462830
"YUM","Month","Jul 31, 2018",77.52,80.61,77.09,79.29,28753504
"YUM","Month","Jun 29, 2018",81.64,84.71,77.43,78.22,56111917
"YUM","Month","May 31, 2018",87.11,87.26,80.03,81.33,56941778
"YUM","Month","Apr 30, 2018",85.22,88.07,82.89,87.1,42261527
"YUM","Month","Mar 29, 2018",80.98,85.67,78.1,85.13,45576704
"YUM","Month","Feb 28, 2018",84.24,84.59,75.88,81.38,54006366
"YUM","Month","Jan 31, 2018",82.15,86.93,81.13,84.59,34033072
"YUM","Month","Dec 29, 2017",83.46,84.29,81.59,81.61,32807381
"YUM","Month","Nov 30, 2017",74.54,84.06,74.26,83.47,40026281
"YUM","Month","Oct 31, 2017",73.37,77.03,73.37,74.45,38053332
